City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Clyde River,CA,70.47,-68.59,44.6,93,75,6.93,broken clouds
83,Souillac,MU,-20.52,57.52,71.6,83,75,17.22,shower rain
84,Tuktoyaktuk,CA,69.45,-133.04,53.6,100,90,18.34,light rain
85,Cidreira,BR,-30.18,-50.21,59.29,74,0,7.43,clear sky
86,Pevek,RU,69.7,170.31,36.32,95,100,5.55,overcast clouds
87,Jamestown,US,42.1,-79.24,73.99,77,100,10.0,light rain
88,Fukue,JP,32.69,128.84,81.16,85,31,9.1,scattered clouds
89,Sayyan,YE,15.17,44.32,62.24,80,32,3.76,light rain
90,Marsh Harbour,BS,26.54,-77.06,82.87,80,99,29.51,moderate rain
91,Ahipara,NZ,-35.17,173.17,56.35,89,100,13.27,light rain
92,Clarence Town,AU,-32.58,151.78,46.99,93,0,6.93,clear sky
93,Frontino,CO,6.78,-76.13,72.05,85,86,3.27,moderate rain
94,Mar Del Plata,AR,-38.0,-57.56,50.0,93,100,13.87,overcast clouds
95,Muscat,OM,23.61,58.59,86.0,84,0,2.24,clear sky
96,Castro,BR,-24.79,-50.01,55.35,78,0,2.28,clear sky
97,Zaozerne,UA,45.16,33.28,71.76,58,0,12.5,clear sky
98,Victoria,HK,22.29,114.16,80.01,88,100,11.01,light rain
99,Avanigadda,IN,16.02,80.92,84.31,71,56,8.46,broken clouds
100,Talnakh,RU,69.49,88.4,57.2,76,70,8.95,broken clouds
101,Codrington,AU,-38.27,141.97,50.29,90,100,7.11,overcast clouds
102,Guerrero Negro,MX,27.98,-114.06,88.07,44,0,14.92,clear sky
103,Niksic,ME,42.77,18.94,89.6,31,0,10.29,clear sky
104,Vanavara,RU,60.34,102.28,57.45,79,100,5.1,overcast clouds
105,Bireun,ID,5.2,96.7,78.42,66,99,4.97,overcast clouds
106,Rawson,AR,-43.3,-65.1,56.52,49,71,19.13,broken clouds
107,Enshi,CN,30.3,109.48,73.2,85,58,0.22,broken clouds
108,Kruisfontein,ZA,-34.0,24.73,50.7,91,0,6.02,clear sky
109,Thompson,CA,55.74,-97.86,71.6,40,20,11.41,few clouds
110,Bonthe,SL,7.53,-12.51,75.87,90,100,10.94,light rain
111,Ponta Do Sol,PT,32.67,-17.1,73.4,64,20,27.51,few clouds
112,Fortuna,US,40.6,-124.16,72.0,68,26,3.0,scattered clouds
113,Teya,RU,60.38,92.63,56.68,83,98,2.19,overcast clouds
114,Volchansk,RU,59.94,60.08,51.67,89,91,2.01,overcast clouds
115,Barranca,PE,-10.75,-77.77,62.89,76,11,8.88,few clouds
116,Kieta,PG,-6.22,155.63,81.28,72,93,1.86,overcast clouds
117,Matamoros,MX,25.53,-103.25,91.4,36,75,5.82,broken clouds
118,Barrow,US,71.29,-156.79,35.6,80,90,5.82,overcast clouds
119,Yeppoon,AU,-23.13,150.73,60.8,77,90,6.93,overcast clouds
120,Anajatuba,BR,-3.26,-44.62,78.84,60,13,1.23,few clouds
121,Bambous Virieux,MU,-20.34,57.76,71.6,83,75,17.22,shower rain
122,Ornskoldsvik,SE,63.29,18.72,59.0,87,100,3.36,moderate rain
123,Ambilobe,MG,-13.2,49.05,67.55,83,0,3.33,clear sky
124,Bereda,ES,43.27,-7.54,61.0,93,47,5.99,scattered clouds
125,Tiksi,RU,71.69,128.87,45.39,77,0,2.59,clear sky
126,Longyearbyen,SJ,78.22,15.64,53.6,76,27,3.36,scattered clouds
127,Lebu,CL,-37.62,-73.65,52.12,93,28,7.85,light rain
128,Tsumeb,NA,-19.23,17.72,55.24,35,0,10.83,clear sky
129,Westport,US,41.14,-73.36,87.01,51,1,6.93,clear sky
130,Hithadhoo,MV,-0.6,73.08,82.49,75,20,11.12,few clouds
131,Geraldton,AU,-28.77,114.6,44.6,93,39,8.05,scattered clouds
132,Itaituba,BR,-4.28,-55.98,84.6,41,52,1.59,broken clouds
133,Lavrentiya,RU,65.58,-171.0,46.22,66,97,9.93,overcast clouds
134,Tirlyanskiy,RU,54.21,58.58,58.66,89,90,1.01,overcast clouds
135,Salinopolis,BR,-0.61,-47.36,80.01,80,87,11.97,overcast clouds
136,Oranjemund,NA,-28.55,16.43,65.52,31,0,0.58,clear sky
137,New Norfolk,AU,-42.78,147.06,48.99,76,9,5.01,clear sky
138,Santa Rosa,PH,14.31,121.11,78.8,94,100,1.61,overcast clouds
139,Arraial Do Cabo,BR,-22.97,-42.03,69.8,68,14,8.05,few clouds
140,Piacabucu,BR,-10.41,-36.43,73.56,87,53,9.71,light rain
141,Anadyr,RU,64.75,177.48,53.6,71,75,8.95,broken clouds
142,Lakes Entrance,AU,-37.88,147.98,42.01,85,0,5.01,clear sky
143,Yellowknife,CA,62.46,-114.35,82.0,57,75,11.41,broken clouds
144,Batagay,RU,67.63,134.63,61.92,53,42,5.03,scattered clouds
145,Yen Bai,VN,21.7,104.87,78.73,88,100,4.76,moderate rain
146,Flinders,AU,-34.58,150.86,52.0,87,65,1.99,broken clouds
147,Oyama,JP,36.3,139.8,79.0,94,20,5.82,few clouds
148,Lanzhou,CN,36.06,103.79,73.0,44,0,0.54,clear sky
149,Hasaki,JP,35.73,140.83,73.4,94,75,10.29,broken clouds
150,Vieux-Habitants,GP,16.06,-61.77,84.2,70,57,9.17,broken clouds
151,Bulgan,MN,48.81,103.53,54.39,79,83,5.53,broken clouds
152,Cam Ranh,VN,11.92,109.16,84.2,79,75,14.99,broken clouds
153,Mahajanga,MG,-15.72,46.32,73.45,49,8,14.27,clear sky
154,Sur,OM,22.57,59.53,83.82,72,12,11.63,few clouds
155,Lagoa,PT,39.05,-27.98,71.42,71,0,8.95,clear sky
156,Luderitz,NA,-26.65,15.16,75.2,19,0,9.17,clear sky
157,Udachnyy,RU,66.42,112.4,57.2,62,48,4.47,scattered clouds
158,Pangnirtung,CA,66.15,-65.71,47.08,80,100,2.62,overcast clouds
159,Belmonte,BR,-15.86,-38.88,82.4,83,20,1.12,few clouds
160,Raudeberg,NO,61.99,5.14,61.0,93,73,6.93,broken clouds
161,Wajid,SO,3.81,43.25,72.72,68,0,22.26,clear sky
162,Severo-Kurilsk,RU,50.68,156.12,55.54,79,100,10.85,overcast clouds
163,Carnarvon,AU,-24.87,113.63,59.0,87,0,11.41,clear sky
164,Dudinka,RU,69.41,86.18,57.2,76,72,8.95,broken clouds
165,Barcelos,PT,41.54,-8.62,66.99,88,0,1.12,clear sky
166,Ushtobe,KZ,45.25,77.98,71.19,31,86,8.21,overcast clouds
167,Beloha,MG,-25.17,45.05,59.61,80,0,10.65,clear sky
168,Vestmannaeyjar,IS,63.44,-20.27,52.29,94,100,15.1,light rain
169,Amahai,ID,-3.33,128.92,76.87,87,96,10.98,light rain
170,Havelock,US,34.88,-76.9,80.6,78,90,14.99,thunderstorm
171,Butaritari,KI,3.07,172.79,83.26,80,2,16.91,light rain
172,Newtownards,GB,54.59,-5.69,55.99,93,100,5.82,light rain
173,Las Lomas,PA,8.43,-82.4,86.0,74,40,9.17,scattered clouds
174,Port Elizabeth,ZA,-33.92,25.57,55.4,93,0,3.36,light intensity drizzle
175,Kavieng,PG,-2.57,150.8,82.06,80,100,8.16,light rain
176,Grindavik,IS,63.84,-22.43,51.8,100,90,9.17,light intensity drizzle
177,Polewali,ID,-3.43,119.34,74.93,83,89,3.11,overcast clouds
178,Shache,CN,38.42,77.24,80.47,16,100,11.32,overcast clouds
