City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,279,Abu Samrah,SY,35.3,37.18,75.33,52,0,8.88,clear sky
281,281,Am Timan,TD,11.03,20.28,71.67,95,100,11.12,heavy intensity rain
282,282,Asfi,MA,32.3,-9.24,75.96,65,16,12.97,few clouds
286,286,Garowe,SO,8.41,48.48,79.92,49,79,16.62,broken clouds
288,288,Padre Bernardo,BR,-15.35,-48.5,69.8,41,0,5.82,clear sky
291,291,Omboue,GA,-1.57,9.26,73.62,78,75,7.72,broken clouds
293,293,Abha,SA,18.22,42.51,71.6,72,96,9.17,overcast clouds
297,297,Vanimo,PG,-2.67,141.3,76.39,91,100,8.08,heavy intensity rain
298,298,Ocampo,MX,21.65,-101.5,74.88,40,27,13.78,scattered clouds
307,307,Kloulklubed,PW,7.04,134.26,77.0,94,75,3.36,broken clouds
309,309,Kuching,MY,1.55,110.33,77.0,94,20,2.24,few clouds
312,312,Kijang,KR,35.24,129.21,78.8,83,75,5.82,broken clouds
313,313,Benito Juarez,MX,19.39,-99.17,73.0,43,75,11.41,broken clouds
315,315,Eureka,US,40.8,-124.16,71.01,41,28,5.01,scattered clouds
320,320,Erenhot,CN,43.65,111.98,70.45,44,0,13.65,clear sky
321,321,Ribeira Grande,PT,38.52,-28.7,71.65,68,9,7.31,clear sky
322,322,Floresta,BR,-8.6,-38.57,75.7,57,71,16.31,broken clouds
323,323,Bacolod,PH,10.67,122.95,78.12,75,100,3.76,overcast clouds
325,325,Nouadhibou,MR,20.93,-17.03,75.2,83,0,14.99,clear sky
326,326,Anuradhapura,LK,8.36,80.42,77.86,82,100,14.05,overcast clouds
332,332,Srandakan,ID,-7.94,110.25,73.33,86,84,7.65,broken clouds
337,337,Ardesen,TR,41.19,40.99,69.8,94,75,5.82,light intensity shower rain
338,338,Morondava,MG,-20.28,44.28,73.0,59,6,13.65,clear sky
339,339,Jinchang,CN,38.5,102.17,69.64,25,72,1.61,broken clouds
340,340,Kumano,JP,34.34,132.59,78.8,94,75,2.24,fog
346,346,Korla,CN,41.76,86.15,78.89,25,94,8.46,overcast clouds
348,348,Luanda,AO,-8.84,13.23,69.8,88,20,4.7,few clouds
349,349,Katsuura,JP,35.13,140.3,75.0,87,19,1.99,few clouds
352,352,Hobyo,SO,5.35,48.53,77.45,77,2,24.07,clear sky
355,355,Pringsewu,ID,-5.36,104.97,69.69,92,73,2.08,broken clouds
361,361,Smoky Lake,CA,54.12,-112.47,77.09,62,0,15.14,clear sky
362,362,Gilgit,PK,35.92,74.31,77.76,36,14,2.15,light rain
371,371,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.4,73,75,14.99,broken clouds
374,374,Lorengau,PG,-2.02,147.27,79.9,81,100,8.63,overcast clouds
375,375,Bukama,CD,-9.2,25.85,72.81,38,65,2.21,broken clouds
378,378,Davila,PH,18.47,120.58,78.8,94,75,4.7,broken clouds
382,382,Rongcheng,CN,30.63,117.85,79.45,85,27,3.15,scattered clouds
383,383,Mitsamiouli,KM,-11.38,43.28,76.78,76,0,8.14,clear sky
384,384,Faanui,PF,-16.48,-151.75,78.84,80,35,12.33,scattered clouds
385,385,Urumqi,CN,43.8,87.6,73.4,35,0,2.24,clear sky
388,388,Vila Franca Do Campo,PT,37.72,-25.43,71.6,68,75,8.05,broken clouds
